iter	RMSE
0	99.15239888
1	98.69470521
2	98.21413618
3	97.79537874
4	97.35129287
5	96.9099586
6	96.50878407
7	96.0598437
8	95.61862928
9	95.26819121
10	94.78691547
11	94.37198049
12	93.89763136
13	93.37922626
14	92.81163082
15	92.47449523
16	92.16543939
17	91.75581513
18	91.38745629
19	90.93124398
20	90.57573152
21	90.26328614
22	89.86749251
23	89.47493018
24	89.16386211
25	88.83687258
26	88.53253314
27	88.16053782
28	87.75077288
29	87.45170164
30	87.10291425
31	86.69112641
32	86.29894494
33	85.93561898
34	85.51677247
35	85.18285846
36	84.80566103
37	84.40890707
38	84.0226403
39	83.70291847
40	83.40410212
41	83.09943794
42	82.87193035
43	82.50052191
44	82.12403488
45	81.73138157
46	81.3382559
47	80.99743131
48	80.65498513
49	80.29682328
50	80.03263348
51	79.78175058
52	79.40255844
53	79.05133431
54	78.75925734
55	78.45535696
56	78.17933771
57	77.87395416
58	77.50042539
59	77.21405298
60	76.85726506
61	76.54272994
62	76.2594397
63	75.88303466
64	75.53215036
65	75.22477721
66	74.97257051
67	74.74583928
68	74.36611244
69	74.0697809
70	73.78773907
71	73.56611384
72	73.18871297
73	72.85041387
74	72.50402112
75	72.17037685
76	71.91950509
77	71.62312522
78	71.33752571
79	71.0374616
80	70.71340479
81	70.41214632
82	70.0928164
83	69.79640497
84	69.53449601
85	69.21814617
86	68.87780966
87	68.56087139
88	68.26284303
89	67.9951285
90	67.7538689
91	67.45085724
92	67.12621797
93	66.89974464
94	66.59975074
95	66.33113255
96	66.06030541
97	65.74910117
98	65.47049095
99	65.20284767
