iter	Passed	Remaining
0	130	12914
1	131	6435
2	132	4273
3	133	3192
4	133	2543
5	134	2113
6	135	1804
7	136	1571
8	137	1390
9	138	1246
10	139	1127
11	140	1028
12	141	944
13	141	872
14	144	818
15	145	762
16	146	713
17	147	669
18	148	631
19	148	595
20	150	564
21	150	534
22	151	507
23	152	482
24	153	460
25	154	438
26	155	419
27	155	400
28	161	395
29	162	379
30	163	364
31	164	349
32	165	335
33	166	322
34	167	310
35	167	298
36	168	287
37	169	276
38	170	266
39	171	256
40	172	247
41	173	239
42	174	231
43	175	223
44	176	215
45	177	208
46	178	201
47	179	194
48	180	187
49	181	181
50	181	174
51	182	168
52	183	162
53	184	157
54	185	151
55	186	146
56	187	141
57	188	136
58	189	131
59	190	127
60	191	122
61	192	117
62	193	113
63	194	109
64	194	104
65	195	100
66	196	96
67	197	92
68	198	89
69	199	85
70	200	81
71	202	78
72	203	75
73	204	71
74	205	68
75	206	65
76	207	61
77	207	58
78	208	55
79	209	52
80	210	49
81	211	46
82	212	43
83	213	40
84	214	37
85	214	34
86	216	32
87	217	29
88	218	27
89	219	24
90	220	21
91	221	19
92	222	16
93	223	14
94	224	11
95	224	9
96	225	6
97	226	4
98	227	2
99	228	0
